1	0	16	10	1	16		
1	1	19	7	1	19		
1	2	9	17	1	9		
1	3	13	13	1	13		
2	0	28	16	1	28		
2	1	34	10	1	34		
2	2	16	28	1	16		
2	3	22	22	1	22		
3	0	44	26	1	44		
3	1	55	15	1	55		
3	2	26	22	2	13		
3	3	34	18	2	17		
4	0	64	18	2	32		
4	1	80	20	1	80		
4	2	36	16	4	9		
4	3	48	26	2	24		
5	0	86	24	2	43		
5	1	108	26	1	108		
5	2	46	22	2	11	2	12
5	3	62	18	2	15	2	16
6	0	108	16	4	27		
6	1	136	18	2	68		
6	2	60	28	4	15		
6	3	76	24	4	19		
7	0	124	18	4	31		
7	1	156	20	2	78		
7	2	66	26	4	13	1	14
7	3	88	18	2	14	4	15
8	0	154	22	2	38	2	39
8	1	194	24	2	97		
8	2	86	26	4	14	2	15
8	3	110	22	4	18	2	19
9	0	182	22	3	36	2	37
9	1	232	30	2	116		
9	2	100	24	4	12	4	13
9	3	132	20	4	16	4	17
10	0	216	26	4	43	1	44
10	1	274	18	2	68	2	69
10	2	122	28	6	15	2	16
10	3	154	24	6	19	2	20
11	0	254	30	1	50	4	51
11	1	324	20	4	81		
11	2	140	24	3	12	8	13
11	3	180	28	4	22	4	23
12	0	290	22	6	36	2	37
12	1	370	24	2	92	2	93
12	2	158	28	7	14	4	15
12	3	206	26	4	20	6	21
13	0	334	22	8	37	1	38
13	1	428	26	4	107		
13	2	180	22	12	11	4	12
13	3	244	24	8	20	4	21
14	0	365	24	4	40	5	41
14	1	461	30	3	115	1	116
14	2	197	24	11	12	5	13
14	3	261	20	11	16	5	17
15	0	415	24	5	41	5	42
15	1	523	22	5	87	1	88
15	2	223	24	11	12	7	13
15	3	295	30	5	24	7	25
16	0	453	28	7	45	3	46
16	1	589	24	5	98	1	99
16	2	253	30	3	15	13	16
16	3	325	24	15	19	2	20
17	0	507	28	10	46	1	47
17	1	647	28	1	107	5	108
17	2	283	28	2	14	17	15
17	3	367	28	1	22	15	23
18	0	563	26	9	43	4	44
18	1	721	30	5	120	1	121
18	2	313	28	2	14	19	15
18	3	397	28	17	22	1	23
19	0	627	26	3	44	11	45
19	1	795	28	3	113	4	114
19	2	341	26	9	13	16	14
19	3	445	26	17	21	4	22
20	0	669	26	3	41	13	42
20	1	861	28	3	107	5	108
20	2	385	28	15	15	10	16
20	3	485	30	15	24	5	25
21	0	714	26	17	42		
21	1	932	28	4	116	4	117
21	2	406	30	19	16	6	17
21	3	512	28	17	22	6	23
22	0	782	28	17	46		
22	1	1006	28	2	111	7	112
22	2	442	24	34	13		
22	3	568	30	7	24	16	25
23	0	860	28	4	47	14	48
23	1	1094	30	4	121	5	122
23	2	464	30	16	15	14	16
23	3	614	30	11	24	14	25
24	0	914	28	6	45	14	46
24	1	1174	30	6	117	4	118
24	2	514	30	30	16	2	17
24	3	664	30	11	24	16	25
25	0	1000	28	8	47	13	48
25	1	1276	26	8	106	4	107
25	2	538	30	22	15	13	16
25	3	718	30	7	24	22	25
26	0	1062	28	19	46	4	47
26	1	1370	28	10	114	2	115
26	2	596	30	33	16	4	17
26	3	754	28	28	22	6	23
27	0	1128	28	22	45	3	46
27	1	1468	30	8	122	4	123
27	2	628	30	12	15	28	16
27	3	808	30	8	23	26	24
28	0	1193	28	3	45	23	46
28	1	1531	30	3	117	10	118
28	2	661	30	11	15	31	16
28	3	871	30	4	24	31	25
29	0	1267	28	21	45	7	46
29	1	1631	30	7	116	7	117
29	2	701	30	19	15	26	16
29	3	911	30	1	23	37	24
30	0	1373	28	19	47	10	48
30	1	1735	30	5	115	10	116
30	2	745	30	23	15	25	16
30	3	985	30	15	24	25	25
31	0	1455	28	2	46	29	47
31	1	1843	30	13	115	3	116
31	2	793	30	23	15	28	16
31	3	1033	30	42	24	1	25
32	0	1541	28	10	46	23	47
32	1	1955	30	17	115		
32	2	845	30	19	15	35	16
32	3	1115	30	10	24	35	25
33	0	1631	28	14	46	21	47
33	1	2071	30	17	115	1	116
33	2	901	30	11	15	46	16
33	3	1171	30	29	24	19	25
34	0	1725	28	14	46	23	47
34	1	2191	30	13	115	6	116
34	2	961	30	59	16	1	17
34	3	1231	30	44	24	7	25
35	0	1812	28	12	47	26	48
35	1	2306	30	12	121	7	122
35	2	986	30	22	15	41	16
35	3	1286	30	39	24	14	25
36	0	1914	28	6	47	34	48
36	1	2434	30	6	121	14	122
36	2	1054	30	2	15	64	16
36	3	1354	30	46	24	10	25
37	0	1992	28	29	46	14	47
37	1	2566	30	17	122	4	123
37	2	1096	30	24	15	46	16
37	3	1426	30	49	24	10	25
38	0	2102	28	13	46	32	47
38	1	2702	30	4	122	18	123
38	2	1142	30	42	15	32	16
38	3	1502	30	48	24	14	25
39	0	2216	28	40	47	7	48
39	1	2812	30	20	117	4	118
39	2	1222	30	10	15	67	16
39	3	1582	30	43	24	22	25
40	0	2334	28	18	47	31	48
40	1	2956	30	19	118	6	119
40	2	1276	30	20	15	61	16
40	3	1666	30	34	24	34	25


# This file contains the number of error correction codewords for each block size
